region_name,sport_name,games_year,season,total_medals
Australia,Canoeing,2004,Summer,3
Australia,Swimming,1988,Summer,3
Australia,Diving,2008,Summer,3
Australia,Cycling,1972,Summer,3
Australia,Canoeing,2000,Summer,3
Australia,Cycling,1956,Summer,3
Australia,Sailing,1976,Summer,3
Australia,Sailing,1964,Summer,3
Australia,Archery,2016,Summer,3
Australia,Tennis,1996,Summer,2
Australia,Tennis,2000,Summer,2
Australia,Tennis,1988,Summer,2
Australia,Boxing,1960,Summer,2
Australia,Diving,2016,Summer,2
Australia,Swimming,1932,Summer,2
Australia,"Freestyle Skiing",2014,Winter,2
Australia,Tennis,1992,Summer,2
Australia,Athletics,1988,Summer,2
Australia,Triathlon,2008,Summer,2
Australia,Athletics,1996,Summer,2
Australia,Swimming,1900,Summer,2
Australia,Canoeing,1984,Summer,2
Australia,Athletics,1896,Summer,2
Australia,Weightlifting,1984,Summer,2
Australia,Swimming,1912,Summer,2
Australia,"Freestyle Skiing",2006,Winter,2
Australia,Sailing,1984,Summer,2
Australia,Athletics,1992,Summer,2
Australia,Taekwondo,2000,Summer,2
Australia,Athletics,2016,Summer,2
Australia,"Beach Volleyball",1996,Summer,2
Australia,"Beach Volleyball",2000,Summer,2
Australia,Swimming,1928,Summer,2
Australia,Swimming,1908,Summer,2
Australia,Athletics,1906,Summer,2
Australia,Wrestling,1948,Summer,2
Australia,Canoeing,1956,Summer,2
Australia,Shooting,2004,Summer,2
Australia,"Freestyle Skiing",2010,Winter,2
Australia,Athletics,1972,Summer,2
Australia,Archery,2004,Summer,1
Australia,Snowboarding,2010,Winter,1
Australia,Judo,1964,Summer,1
Australia,"Freestyle Skiing",2002,Winter,1
Australia,"Short Track Speed Skating",2002,Winter,1
Australia,Diving,2012,Summer,1
Australia,Weightlifting,1952,Summer,1
Australia,Snowboarding,2014,Winter,1
Australia,Swimming,1952,Summer,1
Australia,Boxing,1988,Summer,1
Australia,"Alpine Skiing",1998,Winter,1
Australia,Canoeing,1980,Summer,1
Australia,Shooting,2016,Summer,1
Australia,Weightlifting,1980,Summer,1
Australia,Trampolining,2000,Summer,1
Australia,Athletics,1924,Summer,1
Australia,"Modern Pentathlon",1996,Summer,1
Australia,Shooting,2008,Summer,1
Australia,Wrestling,1932,Summer,1
Australia,Judo,2000,Summer,1
Australia,Rowing,1932,Summer,1
Australia,Rowing,1928,Summer,1
Australia,Rowing,1948,Summer,1
Australia,"Modern Pentathlon",2016,Summer,1
Australia,Cycling,1928,Summer,1
Australia,Tennis,1896,Summer,1
Australia,Boxing,1956,Summer,1
Australia,Triathlon,2004,Summer,1
Australia,"Water Polo",1992,Summer,1
Australia,Archery,2000,Summer,1
Australia,Swimming,1906,Summer,1
Australia,Athletics,1980,Summer,1
Australia,Triathlon,2012,Summer,1
Australia,Diving,1996,Summer,1
Australia,Diving,1992,Summer,1
Australia,Athletics,1936,Summer,1
Australia,"Water Polo",2016,Summer,1
Australia,Weightlifting,1996,Summer,1
Australia,Swimming,1976,Summer,1
Australia,Tennis,2004,Summer,1
Australia,Alpinism,1924,Winter,1
Australia,Cycling,1932,Summer,1
Australia,Triathlon,2000,Summer,1
Australia,Shooting,1984,Summer,1
Australia,Diving,1924,Summer,1
Australia,Weightlifting,1992,Summer,1
Australia,Cycling,2008,Summer,1
Austria,Handball,1936,Summer,22
Austria,"Alpine Skiing",2006,Winter,14
Austria,Football,1936,Summer,13
Austria,"Alpine Skiing",1998,Winter,11
Austria,Canoeing,1936,Summer,11
Austria,"Alpine Skiing",2002,Winter,9
Austria,"Alpine Skiing",1956,Winter,9
Austria,"Alpine Skiing",2014,Winter,9
Austria,"Ski Jumping",1992,Winter,8
Austria,"Alpine Skiing",1992,Winter,8
Austria,Fencing,1912,Summer,8
Austria,"Alpine Skiing",1964,Winter,7
Austria,"Alpine Skiing",1952,Winter,7
Austria,"Ski Jumping",2010,Winter,6
Austria,"Ski Jumping",2006,Winter,6
Austria,"Alpine Skiing",1948,Winter,6
Austria,"Alpine Skiing",1988,Winter,6
Austria,"Nordic Combined",2006,Winter,6
Austria,"Nordic Combined",2002,Winter,6
Austria,"Figure Skating",1928,Winter,5
Austria,"Nordic Combined",2010,Winter,5
Austria,Biathlon,2014,Winter,5
Austria,"Alpine Skiing",1968,Winter,5
Austria,"Ski Jumping",2014,Winter,5
Austria,"Alpine Skiing",1960,Winter,5
Austria,Biathlon,2010,Winter,5
Austria,"Ski Jumping",1998,Winter,5
Austria,"Ski Jumping",1994,Winter,5
Austria,"Art Competitions",1936,Summer,5
Austria,Luge,1964,Winter,5
Austria,"Art Competitions",1948,Summer,4
Austria,"Nordic Combined",1992,Winter,4
Austria,"Alpine Skiing",1980,Winter,4
Austria,"Alpine Skiing",1972,Winter,4
Austria,"Alpine Skiing",2010,Winter,4
Austria,Bobsleigh,1968,Winter,4
Austria,Bobsleigh,1964,Winter,4
Austria,"Figure Skating",1936,Winter,4
Austria,Bobsleigh,1992,Winter,4
Austria,Wrestling,1906,Summer,4
Austria,"Figure Skating",1924,Winter,4
Austria,Equestrianism,1992,Summer,4
Austria,Weightlifting,1924,Summer,4
Austria,Swimming,1912,Summer,4
Austria,"Nordic Combined",2014,Winter,4
Austria,"Nordic Combined",1988,Winter,4
Austria,Swimming,1900,Summer,4
Austria,Luge,1992,Winter,4
Austria,Cycling,1896,Summer,3
Austria,"Figure Skating",1956,Winter,3
Austria,Luge,1968,Winter,3
Austria,Handball,1984,Summer,3
Austria,"Ski Jumping",1976,Winter,3
Austria,Sailing,1980,Summer,3
Austria,Sailing,2004,Summer,3
Austria,Canoeing,1952,Summer,3
Austria,Sailing,2000,Summer,3
Austria,Gymnastics,1904,Summer,3
Austria,Luge,2010,Winter,3
Austria,"Alpine Skiing",1994,Winter,3
Austria,Handball,1988,Summer,2
Austria,Weightlifting,1932,Summer,2
Austria,Luge,2014,Winter,2
Austria,Rowing,1928,Summer,2
Austria,Luge,2006,Winter,2
Austria,"Ski Jumping",1980,Winter,2
Austria,"Speed Skating",1988,Winter,2
Austria,Snowboarding,2010,Winter,2
Austria,Swimming,1896,Summer,2
Austria,Snowboarding,2014,Winter,2
Austria,"Cross Country Skiing",1998,Winter,2
Austria,Wrestling,1932,Summer,2
Austria,Handball,1980,Summer,2
Austria,Athletics,1968,Summer,2
Austria,Luge,1980,Winter,2
Austria,Rowing,1960,Summer,2
Austria,Rowing,1992,Summer,2
Austria,"Alpine Skiing",1976,Winter,2
Austria,Sailing,2016,Summer,2
Austria,Fencing,1900,Summer,2
Austria,Rowing,1956,Summer,2
